"funnel_step","funnel_name","user_ids","platform","age_range","total_usd","rides","cancellations","total_reviews","avg_rating","daily_date"
"3","rides_requested","100272","android","25-34","","1","1","","","2021-02-18"
"3","rides_requested","100013","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100069","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100848","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100360","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100525","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100822","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100817","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100813","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100859","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100098","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100490","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101019","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101087","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100761","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100805","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100187","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100158","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100837","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100631","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100647","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","100078","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101027","android","35-44","","1","0","","","2021-02-18"
"3","rides_requested","100216","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101117","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101847","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101999","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","102182","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101305","android","35-44","","1","0","","","2021-02-18"
"3","rides_requested","101413","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","102062","android","35-44","","1","0","","","2021-02-18"
"3","rides_requested","101691","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101503","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101767","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101321","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101144","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101389","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101194","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101951","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101328","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101107","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101200","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101335","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101810","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","101982","android","35-44","","1","1","","","2021-02-18"
"3","rides_requested","102232","android","35-44","","1","0","","","2021-02-18"
"3","rides_requested","100946","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","100437","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101971","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101739","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","102085","android","45-54","","1","0","","","2021-02-18"
"3","rides_requested","101198","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101331","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101099","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","102191","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101217","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101567","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101752","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101937","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","101570","android","45-54","","1","1","","","2021-02-18"
"3","rides_requested","102027","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101614","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101694","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101496","android","Unknown","","1","0","","","2021-02-18"
"3","rides_requested","101881","android","Unknown","","1","0","","","2021-02-18"
"3","rides_requested","101830","android","Unknown","","1","0","","","2021-02-18"
"3","rides_requested","101275","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101625","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101557","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101136","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101686","android","Unknown","","1","0","","","2021-02-18"
"3","rides_requested","101138","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","102000","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101112","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","102090","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100934","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100162","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101064","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100155","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100249","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100767","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101056","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100746","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100221","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100511","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101034","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100963","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100319","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100650","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100577","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","101023","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100740","android","Unknown","","1","1","","","2021-02-18"
"3","rides_requested","100226","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","100068","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","100008","ios","18-24","","1","0","","","2021-02-18"
"3","rides_requested","100989","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","100263","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","100210","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","100503","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","100564","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","100733","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101645","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101266","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101870","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","102022","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101558","ios","18-24","","1","0","","","2021-02-18"
"3","rides_requested","101845","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101940","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101687","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101602","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101540","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","101904","ios","18-24","","1","1","","","2021-02-18"
"3","rides_requested","102132","ios","18-24","","1","1","","","2021-02-18"
