"user_id","rides"
"108671","10"
"109376","10"
"108716","11"
"113650","12"
"105375","12"
"108607","13"
"101338","13"
"109564","13"
"103947","13"
"107680","13"
"115840","13"
"100417","13"
"102934","13"
"113411","13"
"108994","13"
"107954","14"
"108360","14"
"111321","14"
"102970","14"
"100208","14"
"112378","14"
"113651","14"
"115592","14"
"110308","14"
"102742","14"
"112795","14"
"108325","14"
"114926","14"
"106578","14"
"107185","14"
"109905","14"
"102665","14"
"114682","14"
"113432","14"
"113633","14"
"106877","14"
"101396","14"
"100521","14"
"117266","15"
"112525","15"
"112747","15"
"112840","15"
"115045","15"
"103524","15"
"109184","15"
"116076","15"
"116410","15"
"102545","15"
"115000","15"
"100637","15"
"114652","15"
"101887","15"
"113718","15"
"103488","15"
"103045","15"
"107315","15"
"102560","15"
"116792","15"
"115439","15"
"105372","15"
"115487","15"
"102450","15"
"107119","15"
"108640","15"
"110998","15"
"115963","15"
"109725","15"
"103756","15"
"113940","15"
"114910","15"
"111449","15"
"111237","15"
"110334","15"
"101463","16"
"107857","16"
"110938","16"
"109006","16"
"115509","16"
"104627","16"
"113860","16"
"113150","16"
"113582","16"
"112564","16"
"102475","16"
"107668","16"
"116268","16"
"112216","16"
"115385","16"
"107350","16"
"111212","16"
"109974","16"
"113640","16"
"108617","16"
"107226","16"
"107645","16"
"104437","16"
"109662","16"
"109640","16"
"102635","16"
"109497","16"
"100283","16"
"113428","16"
"105008","16"
"104865","16"
"104489","16"
"109286","16"
"115419","16"
"107710","16"
"109387","16"
"109341","16"
"116528","16"
"109788","16"
"108713","16"
"107872","16"
"101024","16"
"107976","16"
"109270","16"
"102775","16"
"117138","16"
"100723","16"
"108259","16"
"100866","16"
"108232","16"
"112719","16"
"111956","16"
"106497","16"
"110869","16"
"104282","16"
"103470","16"
"100204","16"
"113623","16"
"104742","16"
"115967","16"
"101534","16"
"104820","16"
"116078","16"
"101687","16"
"110189","16"
"110726","16"
"111788","16"
"106937","16"
"116902","16"
"109275","16"
"116926","17"
"104512","17"
"100638","17"
"109677","17"
"107747","17"
"116526","17"
"112320","17"
"105222","17"
"113994","17"
"110201","17"
"100532","17"
"110405","17"
"105320","17"
"106076","17"
"101269","17"
"116943","17"
"106918","17"
"101141","17"
"111322","17"
"108174","17"
"110885","17"
"115192","17"
"102473","17"
"108909","17"
"102803","17"
"111685","17"
"102609","17"
"111147","17"
"102926","17"
"102953","17"
"104163","17"
"100528","17"
"109392","17"
"101607","17"
"115651","17"
"112067","17"
"104032","17"
"105878","17"
"116043","17"
"101531","17"
"106523","17"
"105823","17"
"101592","17"
"106444","17"
"110729","17"
"114584","17"
"101870","17"
"104433","17"
"106633","17"
"116444","17"
"101274","17"
"112394","17"
"115498","17"
"117348","17"
"111038","17"
"108417","17"
"110197","17"
"111734","17"
"103027","17"
"114119","17"
"114457","17"
"111396","17"
"114233","17"
"104579","17"
"107979","17"
"108643","17"
"106180","17"
"112859","17"
"101966","17"
"112779","17"
"104839","17"
"103411","17"
"111919","17"
"110864","17"
"105585","17"
"113068","17"
"102144","17"
"102396","17"
"101023","17"
"101882","17"
"117531","17"
"104808","17"
"109590","17"
"100346","17"
"114661","17"
"102409","17"
"101732","17"
"110393","17"
"117619","17"
"105484","17"
"109330","17"
"106009","17"
"112269","17"
"110273","17"
"106083","17"
"114789","17"
"101116","17"
"104885","17"
"105815","17"
"107425","17"
"101117","17"
"109674","17"
"111157","17"
"105994","17"
"108503","17"
"107835","17"
"105822","17"
"116151","17"
"110169","17"
"107801","17"
"102388","17"
"115055","17"
"114737","17"
"117551","17"
"108097","17"
"113570","17"
"116296","17"
"112091","17"
"102081","18"
"106070","18"
"102090","18"
"101475","18"
"108442","18"
"100370","18"
"102670","18"
"112897","18"
"107414","18"
"107224","18"
"101100","18"
"101377","18"
"115122","18"
"116370","18"
"100906","18"
"104544","18"
"114989","18"
"116624","18"
"109957","18"
"100176","18"
"106208","18"
"114851","18"
"112293","18"
"107389","18"
"108176","18"
"111146","18"
"108302","18"
"101209","18"
"103123","18"
"109073","18"
"100145","18"
"116470","18"
"101420","18"
"100181","18"
"107723","18"
"114492","18"
"104892","18"
"108005","18"
"115167","18"
"110722","18"
"107822","18"
"111573","18"
"115995","18"
"103817","18"
"102865","18"
"109219","18"
"102368","18"
"101951","18"
"111680","18"
"109106","18"
"111369","18"
"104589","18"
"107246","18"
"111352","18"
"100945","18"
"102107","18"
"109945","18"
"110230","18"
"116262","18"
"108334","18"
"113393","18"
"116764","18"
"117517","18"
"105661","18"
"106971","18"
"113995","18"
