"driver_id","users","rides","rides_completed","rides_canceled","age_range","platform","reviews","avg_rating"
"113005","2","2","1","1","45-54","android","0",""
"113005","1","1","1","0","Unknown","android","0",""
"113005","1","1","1","0","Unknown","ios","1","1.00"
"113005","1","1","1","0","Unknown","web","1","4.00"
"113006","1","1","1","0","18-24","ios","0",""
"113006","1","1","1","0","25-34","android","1","5.00"
"113006","1","1","1","0","25-34","ios","1","4.00"
"113006","1","1","1","0","35-44","android","1","4.00"
"113006","3","3","2","1","35-44","ios","1","1.00"
"113006","3","3","3","0","35-44","web","3","2.67"
"113006","3","3","2","1","45-54","ios","2","4.00"
"113006","1","1","0","1","Unknown","android","0",""
"113006","2","2","2","0","Unknown","ios","1","1.00"
"113006","3","3","3","0","Unknown","web","3","3.67"
"113007","1","1","1","0","18-24","android","1","2.00"
"113007","1","1","1","0","18-24","ios","1","1.00"
"113007","3","3","2","1","25-34","android","1","1.00"
"113007","4","4","4","0","25-34","ios","2","4.50"
"113007","3","3","2","1","35-44","android","1","5.00"
"113007","1","1","1","0","35-44","web","0",""
"113007","1","1","1","0","Unknown","android","1","5.00"
"113007","2","2","2","0","Unknown","ios","1","1.00"
"113008","2","2","2","0","25-34","ios","0",""
"113008","1","1","1","0","35-44","android","0",""
"113008","4","4","3","1","35-44","ios","1","5.00"
"113008","1","1","1","0","45-54","android","1","5.00"
"113008","1","1","1","0","45-54","ios","1","4.00"
"113008","6","6","5","1","Unknown","android","3","3.67"
"113008","2","2","2","0","Unknown","ios","1","5.00"
"113009","2","2","2","0","18-24","ios","1","1.00"
"113009","1","1","1","0","25-34","android","1","1.00"
"113009","3","3","3","0","25-34","ios","2","1.50"
"113009","1","1","1","0","35-44","ios","1","5.00"
"113009","1","1","1","0","35-44","web","1","2.00"
"113009","1","1","1","0","45-54","android","1","5.00"
"113009","1","1","1","0","45-54","ios","0",""
"113009","1","1","1","0","45-54","web","1","1.00"
"113009","1","1","1","0","Unknown","android","0",""
"113009","2","2","2","0","Unknown","ios","0",""
"113010","2","2","2","0","25-34","ios","2","4.50"
"113010","1","1","1","0","35-44","android","1","4.00"
"113010","4","4","4","0","35-44","ios","2","3.50"
"113010","2","2","2","0","45-54","ios","1","1.00"
"113010","2","2","2","0","Unknown","android","0",""
"113010","4","4","4","0","Unknown","ios","3","3.33"
"113011","1","1","1","0","18-24","android","1","5.00"
"113011","3","3","3","0","18-24","ios","2","2.50"
"113011","1","1","1","0","18-24","web","0",""
"113011","3","3","2","1","25-34","android","2","3.00"
"113011","2","2","2","0","25-34","ios","1","1.00"
"113011","3","3","3","0","35-44","android","2","1.50"
"113011","4","4","4","0","35-44","ios","3","2.67"
"113011","1","1","1","0","35-44","web","1","1.00"
"113011","1","1","1","0","45-54","android","1","4.00"
"113011","1","1","1","0","Unknown","android","1","1.00"
"113011","3","3","3","0","Unknown","ios","2","2.00"
"113011","1","1","1","0","Unknown","web","0",""
"113012","1","1","0","1","18-24","android","0",""
"113012","1","1","1","0","18-24","ios","1","1.00"
"113012","1","1","1","0","25-34","android","1","3.00"
"113012","2","2","2","0","25-34","ios","2","4.50"
"113012","2","2","2","0","35-44","android","2","1.00"
"113012","1","1","1","0","35-44","ios","1","5.00"
"113012","1","1","1","0","35-44","web","1","1.00"
"113012","3","3","3","0","45-54","ios","2","3.00"
"113012","2","2","2","0","Unknown","android","1","1.00"
"113012","3","3","2","1","Unknown","ios","2","4.50"
"113012","1","1","1","0","Unknown","web","0",""
"113013","2","2","0","2","18-24","ios","0",""
"113013","1","1","1","0","25-34","android","1","4.00"
"113013","4","4","3","1","25-34","ios","2","2.50"
"113013","1","1","1","0","25-34","web","1","1.00"
"113013","1","1","1","0","35-44","android","1","2.00"
"113013","4","4","3","1","35-44","ios","1","5.00"
"113013","1","1","1","0","Unknown","android","0",""
"113013","1","1","1","0","Unknown","web","0",""
"113014","1","1","1","0","18-24","ios","1","5.00"
"113014","1","1","1","0","25-34","ios","0",""
"113014","2","2","1","1","35-44","android","1","3.00"
"113014","2","2","2","0","35-44","ios","2","5.00"
"113014","1","1","1","0","35-44","web","0",""
"113014","2","2","1","1","45-54","ios","1","5.00"
"113014","2","2","1","1","Unknown","android","0",""
"113014","3","3","3","0","Unknown","ios","2","2.00"
"113015","2","2","1","1","18-24","ios","1","1.00"
"113015","2","2","2","0","25-34","ios","1","3.00"
"113015","2","2","2","0","35-44","android","1","4.00"
"113015","2","2","2","0","35-44","ios","2","3.00"
"113015","1","1","1","0","45-54","web","1","1.00"
"113015","2","2","2","0","Unknown","ios","1","5.00"
"113016","1","1","1","0","18-24","android","1","1.00"
"113016","1","1","1","0","25-34","android","1","1.00"
"113016","2","2","2","0","25-34","ios","1","4.00"
"113016","1","1","1","0","25-34","web","1","5.00"
"113016","2","2","2","0","35-44","android","1","4.00"
"113016","1","1","1","0","35-44","ios","1","1.00"
"113016","1","1","1","0","45-54","android","1","3.00"
"113016","2","2","1","1","45-54","ios","1","1.00"
"113016","1","1","1","0","Unknown","android","0",""
"113016","6","6","6","0","Unknown","ios","5","2.80"
"113017","1","1","1","0","18-24","android","0",""
"113017","1","1","1","0","18-24","ios","1","5.00"
"113017","1","1","1","0","25-34","ios","1","5.00"
"113017","1","1","1","0","35-44","ios","1","1.00"
"113017","2","2","1","1","45-54","ios","0",""
"113017","1","1","1","0","45-54","web","1","1.00"
"113017","1","1","1","0","Unknown","android","0",""
"113017","5","5","5","0","Unknown","ios","4","2.75"
"113018","1","1","0","1","18-24","ios","0",""
"113018","2","2","1","1","25-34","ios","0",""
"113018","2","2","2","0","35-44","android","2","1.00"
"113018","1","1","1","0","35-44","ios","0",""
"113018","1","1","1","0","35-44","web","1","4.00"
"113018","2","2","0","2","Unknown","ios","0",""
"113018","1","1","1","0","Unknown","web","0",""
"113019","3","3","1","2","18-24","ios","1","4.00"
"113019","1","1","1","0","25-34","android","1","1.00"
"113019","1","1","1","0","25-34","ios","1","2.00"
"113019","2","2","2","0","35-44","android","2","3.00"
"113019","2","2","2","0","35-44","ios","1","1.00"
"113019","2","2","2","0","45-54","android","2","2.50"
"113019","2","2","2","0","45-54","ios","0",""
"113019","2","2","2","0","Unknown","android","2","5.00"
"113019","2","2","2","0","Unknown","ios","1","2.00"
"113020","1","1","1","0","18-24","android","1","1.00"
"113020","3","3","3","0","25-34","android","2","2.00"
"113020","2","2","1","1","35-44","android","1","1.00"
"113020","3","3","3","0","35-44","ios","3","3.00"
"113020","3","3","3","0","45-54","ios","3","2.33"
"113020","1","1","1","0","45-54","web","1","1.00"
"113020","1","1","1","0","Unknown","android","0",""
"113020","2","2","2","0","Unknown","ios","2","2.50"
"113020","1","1","1","0","Unknown","web","1","5.00"
"113021","1","1","1","0","18-24","ios","1","5.00"
"113021","1","1","0","1","18-24","web","0",""
"113021","2","2","2","0","25-34","ios","2","4.00"
"113021","1","1","1","0","35-44","android","1","2.00"
"113021","5","5","5","0","35-44","ios","3","3.33"
"113021","1","1","0","1","45-54","android","0",""
"113021","1","1","1","0","Unknown","android","0",""
"113021","5","5","5","0","Unknown","ios","5","3.20"
"113021","1","1","1","0","Unknown","web","1","4.00"
"113022","2","2","2","0","18-24","ios","0",""
"113022","1","1","0","1","25-34","android","0",""
"113022","1","1","0","1","25-34","ios","0",""
"113022","2","2","2","0","35-44","android","2","3.50"
"113022","4","4","4","0","35-44","ios","2","2.50"
"113022","1","1","0","1","35-44","web","0",""
"113022","1","1","1","0","45-54","android","1","1.00"
"113022","1","1","1","0","Unknown","android","1","1.00"
"113022","5","5","4","1","Unknown","ios","2","4.00"
"113022","1","1","1","0","Unknown","web","0",""
"113023","2","2","2","0","18-24","android","1","1.00"
"113023","2","2","2","0","25-34","ios","2","1.00"
"113023","2","2","2","0","35-44","android","2","3.50"
"113023","2","2","2","0","35-44","ios","2","5.00"
"113023","4","4","4","0","Unknown","android","3","3.33"
