"driver_id","users","rides","rides_completed","rides_canceled","age_range","platform","reviews","avg_rating"
"100000","3","3","3","0","18-24","android","3","3.67"
"100000","1","1","1","0","18-24","ios","1","4.00"
"100000","5","5","5","0","35-44","ios","4","2.25"
"100000","1","1","1","0","45-54","android","1","4.00"
"100000","3","3","2","1","45-54","ios","1","4.00"
"100000","2","2","2","0","Unknown","android","1","4.00"
"100000","5","5","4","1","Unknown","ios","4","1.50"
"100000","1","1","1","0","Unknown","web","1","1.00"
"100001","2","2","1","1","25-34","ios","1","4.00"
"100001","2","2","2","0","35-44","android","1","1.00"
"100001","5","5","5","0","35-44","ios","3","3.33"
"100001","1","1","1","0","35-44","web","0",""
"100001","2","2","2","0","45-54","android","2","4.00"
"100001","1","1","1","0","Unknown","android","0",""
"100001","5","5","5","0","Unknown","ios","5","4.00"
"100001","2","2","2","0","Unknown","web","2","2.50"
"100002","1","1","1","0","18-24","android","1","5.00"
"100002","2","2","2","0","18-24","ios","2","3.50"
"100002","1","1","1","0","25-34","ios","0",""
"100002","3","3","3","0","35-44","android","3","3.33"
"100002","6","6","6","0","35-44","ios","4","3.75"
"100002","2","2","2","0","Unknown","android","1","1.00"
"100002","1","1","1","0","Unknown","ios","1","4.00"
"100003","3","3","2","1","25-34","ios","0",""
"100003","1","1","1","0","35-44","android","1","1.00"
"100003","1","1","1","0","35-44","ios","1","5.00"
"100003","2","2","2","0","Unknown","android","1","4.00"
"100003","2","2","1","1","Unknown","ios","1","5.00"
"100004","1","1","1","0","18-24","ios","1","5.00"
"100004","1","1","1","0","25-34","ios","0",""
"100004","2","2","2","0","35-44","android","2","1.50"
"100004","3","3","3","0","35-44","ios","1","1.00"
"100004","1","1","1","0","45-54","android","1","4.00"
"100004","1","1","1","0","45-54","web","1","3.00"
"100004","1","1","1","0","Unknown","web","1","5.00"
"100005","2","2","2","0","18-24","ios","2","2.00"
"100005","1","1","1","0","35-44","ios","1","1.00"
"100005","1","1","1","0","Unknown","android","0",""
"100005","1","1","1","0","Unknown","ios","0",""
"100006","2","2","2","0","18-24","ios","2","3.00"
"100006","1","1","1","0","25-34","android","1","1.00"
"100006","4","4","2","2","25-34","ios","2","2.50"
"100006","2","2","1","1","35-44","android","1","1.00"
"100006","3","3","2","1","35-44","ios","2","4.50"
"100006","3","3","3","0","Unknown","ios","3","2.67"
"100007","1","1","0","1","18-24","ios","0",""
"100007","1","1","1","0","25-34","android","1","2.00"
"100007","1","1","1","0","25-34","web","0",""
"100007","1","1","1","0","35-44","android","1","1.00"
"100007","2","2","2","0","35-44","ios","1","1.00"
"100007","1","1","1","0","45-54","web","1","4.00"
"100007","3","3","3","0","Unknown","android","1","5.00"
"100007","2","2","2","0","Unknown","ios","2","2.50"
"100007","1","1","1","0","Unknown","web","0",""
"100008","1","1","1","0","18-24","ios","1","1.00"
"100008","1","1","1","0","25-34","ios","0",""
"100008","3","3","3","0","35-44","android","2","4.00"
"100008","2","2","2","0","35-44","ios","2","1.50"
"100008","1","1","1","0","Unknown","android","1","4.00"
"100008","2","2","2","0","Unknown","ios","2","2.50"
"100009","1","1","1","0","18-24","ios","0",""
"100009","1","1","1","0","25-34","ios","1","2.00"
"100009","2","2","2","0","35-44","android","1","1.00"
"100009","4","4","4","0","35-44","ios","2","2.50"
"100009","2","2","2","0","Unknown","android","2","4.50"
"100009","1","1","1","0","Unknown","ios","1","4.00"
"100010","1","1","1","0","18-24","ios","1","4.00"
"100010","1","1","1","0","25-34","ios","1","5.00"
"100010","2","2","1","1","35-44","ios","1","3.00"
"100010","3","3","3","0","45-54","ios","2","2.50"
"100010","2","2","2","0","Unknown","android","1","4.00"
"100010","1","1","0","1","Unknown","ios","0",""
"100010","1","1","1","0","Unknown","web","1","5.00"
"100011","2","2","2","0","25-34","ios","2","4.50"
"100011","1","1","1","0","25-34","web","1","3.00"
"100011","1","1","1","0","35-44","android","0",""
"100011","2","2","2","0","35-44","ios","2","3.50"
"100011","1","1","1","0","45-54","ios","0",""
"100011","1","1","1","0","45-54","web","0",""
"100011","1","1","1","0","Unknown","ios","1","2.00"
"100011","1","1","1","0","Unknown","web","0",""
"100012","3","3","3","0","25-34","android","1","1.00"
"100012","2","2","2","0","35-44","android","0",""
"100012","4","4","4","0","35-44","ios","3","5.00"
"100012","1","1","0","1","45-54","web","0",""
